league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
Austrian T-Mobile Bundesliga,0.17289372228142652,0,0,63,0.0369,79.5958,47,62,79,98,119,9.178717080546958,-1.8080740319551343
Austrian T-Mobile Bundesliga,0.17289372228142652,0.05,0.008644686114071326,63,0.0314,80.4727,45,63,80,98,114,9.13828241687425,-1.9120332687175303
Austrian T-Mobile Bundesliga,0.17289372228142652,0.1,0.01728937222814265,63,0.0229,81.2314,45,64,81,99,112,9.203343098701648,-1.9809540733705744
Austrian T-Mobile Bundesliga,0.17289372228142652,0.15000000000000002,0.025934058342213982,63,0.0204,82.115,46,64,82,100,116,9.131588776952187,-2.0932830493030514
Austrian T-Mobile Bundesliga,0.17289372228142652,0.2,0.0345787444562853,63,0.0153,82.9593,50,65,83,101,117,9.056315210642762,-2.203909596316205
Austrian T-Mobile Bundesliga,0.17289372228142652,0.25,0.04322343057035663,63,0.0139,83.5702,43,66,84,101,120,9.126664317271453,-2.253857409992894
Austrian T-Mobile Bundesliga,0.17289372228142652,0.30000000000000004,0.051868116684427965,63,0.0086,84.4756,49,67,84,102,120,8.997205099916362,-2.3869190222416554
Austrian T-Mobile Bundesliga,0.17289372228142652,0.35000000000000003,0.060512802798499285,63,0.0088,85.3215,51,67,85,104,116,9.196749195752647,-2.427107614319719
Austrian T-Mobile Bundesliga,0.17289372228142652,0.4,0.0691574889125706,63,0.0061,86.2195,51,68.97500000000002,86,104,119,9.138614291954646,-2.540811906291059
Austrian T-Mobile Bundesliga,0.17289372228142652,0.45,0.07780217502664194,63,0.0052,86.8708,55,69,87,105,120,9.125033368892321,-2.6159685159483046
Austrian T-Mobile Bundesliga,0.17289372228142652,0.5,0.08644686114071326,63,0.0034,87.7433,56,70,88,106,123,9.10768357487292,-2.716750071144764
Austrian T-Mobile Bundesliga,0.17289372228142652,0.55,0.0950915472547846,63,0.0026,88.5866,57,71,89,107,127,9.046893669570062,-2.8282193794387727
Austrian T-Mobile Bundesliga,0.17289372228142652,0.6000000000000001,0.10373623336885593,63,0.003,89.3583,56,71,89,107,126,9.146370138949761,-2.8818317649045646
